label,n_boot,mean_delta_rl,std_delta_rl,p05_delta_rl,p95_delta_rl,mean_top_country_delta,mean_country_delta
RUS_C19,5,0.018769283354909162,0.00039467622022775384,0.01838392879709439,0.01919585246570047,0.2771705043186688,0.018785605272717214
USA_C19,5,0.013238742846758347,0.00012146881028533115,0.013115928308409104,0.013372281600343433,0.09498659348833231,0.013229767990090369
max_V,5,2.3575394346116258e-05,8.365625875961863e-07,2.2550601181028098e-05,2.437924503107388e-05,0.0014365365615247173,2.3748834804798382e-05
max_d,5,0.01200690587273746,5.4482330711829854e-05,0.011935750099179292,0.012054737281859818,0.1462417116560689,0.012109115642376836
max_phi,5,0.002007047516194199,4.1959771054210886e-05,0.0019520697632641909,0.002046797618811589,0.009670101357860877,0.0020141336756833456
